id,an,judet,scoala,mediu,gen,nota_romana_oral,nota_romana_scris,nota_matematica,nota_limba_straina,nota_specialitate,medie_generala,promovat,absent,promotie
26,2019,Sibiu,Liceul Tehnologic Spiru Haret,Urban,M,10.0,8.03,8.58,8.82,8.17,8.53,1,0,2019
27,2019,Satu Mare,Liceul Teoretic Vasile Alecsandri,Urban,F,7.9,10.0,5.0,8.43,6.13,7.47,1,0,2019
28,2019,Iasi,Liceul Teoretic Nicolae Balcescu,Urban,F,8.62,8.96,6.89,7.47,6.06,7.65,1,0,2019
29,2019,Ialomita,Scoala Nationala Constantin Brancusi,Rural,F,10.0,7.67,6.29,8.16,8.49,7.69,1,0,2019
30,2019,Cluj,Liceul Sportiv Emil Racovita,Urban,F,8.29,6.4,8.15,10.0,10.0,8.19,1,0,2019
31,2019,Timis,Colegiul National George Cosbuc,Urban,M,5.47,6.13,8.86,6.0,7.8,7.11,1,0,2019
32,2019,Calarasi,Colegiul National Avram Iancu,Urban,F,8.68,5.33,9.44,5.25,6.4,7.05,1,0,2019
33,2019,Maramures,Colegiul Economic Elena Cuza,Urban,M,7.78,9.59,3.18,9.18,7.02,7.04,0,0,2019
34,2019,Timis,Colegiul Tehnic Nicolae Balcescu,Rural,F,7.34,7.37,7.69,9.78,6.54,7.7,1,0,2019
35,2019,Teleorman,Liceul Sportiv Ion Luca Caragiale,Urban,F,10.0,3.49,5.88,8.2,7.51,6.17,0,0,2019
36,2019,Bacau,Liceul Teoretic Bogdan Voda,Rural,F,6.1,5.98,4.52,5.38,8.1,5.78,0,0,2019
37,2019,Tulcea,Colegiul Economic Bogdan Voda,Urban,M,8.56,5.96,8.09,8.52,8.46,7.62,1,0,2019
38,2019,Suceava,Liceul de Arte Alexandru Ioan Cuza,Urban,F,7.57,7.21,8.88,8.64,8.4,8.14,1,0,2019
39,2019,Braila,Liceul Teoretic Mihai Eminescu,Rural,F,9.19,7.35,7.57,6.17,10.0,7.82,1,0,2019
40,2019,Tulcea,Liceul Pedagogic Ioan Slavici,Rural,F,5.49,3.97,8.15,8.0,7.65,6.53,0,0,2019
41,2019,Dolj,Liceul Pedagogic Decebal,Urban,F,8.48,6.98,4.32,7.33,5.78,6.2,0,0,2019
42,2019,Suceava,Liceul Teoretic Ana Ipatescu,Urban,M,8.97,6.74,6.94,7.77,7.74,7.33,1,0,2019
43,2019,Brasov,Liceul Pedagogic Decebal,Rural,M,7.54,7.67,9.16,8.69,6.84,8.13,1,0,2019
44,2019,Ialomita,Liceul Sportiv Gheorghe Sincai,Urban,M,7.57,5.2,6.16,6.71,7.58,6.31,1,0,2019
45,2019,Bistrita-Nasaud,Liceul de Arte Onisifor Ghibu,Rural,M,5.78,7.44,8.97,6.29,7.2,7.52,0,1,2019
46,2019,Calarasi,Colegiul National Vasile Alecsandri,Rural,M,8.2,7.24,7.4,9.58,8.63,7.94,1,0,2019
47,2019,Buzau,Liceul Tehnologic Dimitrie Cantemir,Urban,M,10.0,5.94,8.03,7.51,10.0,7.82,1,0,2019
48,2019,Harghita,Colegiul National Ana Ipatescu,Urban,M,7.11,7.27,7.39,10.0,10.0,8.11,1,0,2019
49,2019,Dolj,Colegiul Economic Decebal,Rural,F,8.99,5.46,1.83,9.07,6.17,5.37,0,0,2019
50,2019,Dolj,Colegiul Economic Mihai Eminescu,Rural,M,9.08,8.13,5.0,7.19,7.29,7.02,1,0,2019
51,2019,Ialomita,Colegiul Tehnic Gheorghe Sincai,Rural,F,8.2,7.82,9.29,7.57,8.99,8.44,1,0,2019
52,2019,Botosani,Colegiul Tehnic Ion Barbu,Urban,F,7.69,10.0,9.89,6.78,8.75,9.07,1,0,2019
53,2019,Dambovita,Liceul Pedagogic Grigore Moisil,Urban,M,8.5,9.46,5.0,8.37,8.91,7.78,1,0,2019
54,2019,Giurgiu,Scoala Nationala Lucian Blaga,Urban,F,9.7,7.13,3.42,4.85,3.93,5.45,0,0,2019
55,2019,Cluj,Colegiul Economic Marin Preda,Urban,M,8.14,6.94,1.86,7.05,4.65,5.21,0,1,2019
56,2019,Valcea,Colegiul Tehnic Gheorghe Sincai,Rural,F,8.17,8.63,5.0,8.16,6.25,7.07,1,0,2019
57,2019,Neamt,Colegiul Tehnic Marin Preda,Urban,M,10.0,7.25,5.24,7.72,6.92,6.94,1,0,2019
58,2019,Ialomita,Liceul Pedagogic Ion Luca Caragiale,Rural,M,7.47,7.63,7.27,9.45,9.73,8.09,1,0,2019
59,2019,Mures,Colegiul Tehnic Dimitrie Cantemir,Urban,M,7.65,8.04,6.85,10.0,9.02,8.08,1,0,2019
60,2019,Maramures,Liceul Pedagogic Tudor Vladimirescu,Rural,M,4.82,5.11,3.49,9.71,8.16,5.74,0,0,2019
61,2019,Covasna,Liceul Sportiv Constantin Brancusi,Urban,M,9.67,7.14,5.0,9.79,8.58,7.36,1,0,2019
62,2019,Covasna,Liceul Tehnologic Bogdan Voda,Urban,M,10.0,5.9,7.38,6.15,7.53,7.04,1,0,2019
63,2019,Sibiu,Colegiul Tehnic Bogdan Voda,Rural,M,8.4,5.92,6.68,8.53,7.91,7.09,1,0,2019
64,2019,Constanta,Liceul Teoretic Constantin Brancusi,Urban,F,8.36,7.27,7.4,6.04,8.12,7.36,1,0,2019
65,2019,Bucuresti,Colegiul Economic Alexandru Ioan Cuza,Urban,M,6.77,6.88,8.31,6.53,8.44,7.48,1,0,2019
66,2019,Alba,Colegiul Economic Alexandru Ioan Cuza,Rural,M,8.49,7.46,8.77,6.49,7.24,7.78,1,0,2019
67,2019,Suceava,Liceul Teoretic Constantin Brancusi,Urban,M,7.38,9.1,7.21,7.77,7.56,7.93,1,0,2019
68,2019,Prahova,Liceul Sportiv Decebal,Rural,M,10.0,8.14,4.88,8.78,5.58,7.06,0,0,2019
69,2019,Neamt,Liceul Sportiv Constantin Brancusi,Rural,M,9.81,7.69,6.11,8.64,6.44,7.38,1,0,2019
70,2019,Dolj,Liceul Sportiv Mircea cel Batran,Rural,F,7.48,8.15,10.0,8.67,7.5,8.62,1,0,2019
71,2019,Olt,Liceul de Arte Ana Ipatescu,Urban,F,7.23,7.92,7.94,8.96,7.13,7.89,1,0,2019
72,2019,Braila,Colegiul Tehnic George Cosbuc,Urban,F,7.22,8.5,8.94,8.02,10.0,8.66,1,0,2019
73,2019,Ialomita,Colegiul Economic Tudor Vladimirescu,Urban,F,6.52,4.76,2.46,9.74,8.18,5.51,0,0,2019
74,2019,Arad,Colegiul National Marin Preda,Rural,M,7.93,8.29,7.37,10.0,6.66,7.99,1,0,2019
75,2019,Maramures,Scoala Nationala Emil Racovita,Rural,M,7.85,2.02,8.56,9.53,5.38,6.2,0,0,2019
76,2019,Giurgiu,Colegiul Economic Spiru Haret,Urban,F,7.61,7.1,8.5,5.0,9.75,7.65,1,0,2019
77,2019,Prahova,Colegiul Economic Unirea,Rural,M,7.22,3.82,2.75,3.11,9.74,4.62,0,0,2019
78,2019,Braila,Liceul de Arte Stefan cel Mare,Rural,F,7.52,8.24,9.83,9.09,6.67,8.54,1,0,2019
79,2019,Ialomita,Colegiul Economic Gheorghe Sincai,Rural,F,5.33,10.0,5.73,6.53,6.35,7.18,1,0,2019
80,2019,Teleorman,Liceul Teoretic Onisifor Ghibu,Urban,M,2.68,6.74,5.0,6.27,6.94,5.77,0,0,2019
81,2019,Dolj,Liceul Tehnologic Mihai Viteazul,Urban,F,9.11,9.07,5.66,9.76,6.51,7.77,1,0,2019
82,2019,Tulcea,Liceul de Arte Avram Iancu,Rural,F,4.85,4.84,3.16,9.83,8.27,5.6,0,0,2019
83,2019,Brasov,Colegiul National Regina Maria,Rural,F,9.13,8.27,6.07,6.84,8.24,7.48,1,0,2019
84,2019,Maramures,Colegiul Tehnic Vasile Alecsandri,Urban,M,8.22,6.35,8.63,5.36,8.11,7.34,1,0,2019
85,2019,Valcea,Colegiul National Marin Preda,Rural,M,8.05,5.78,6.32,4.12,8.25,6.29,0,0,2019
86,2019,Bihor,Liceul Sportiv Vasile Alecsandri,Urban,F,7.34,8.11,8.4,10.0,5.0,7.94,1,0,2019
87,2019,Ilfov,Colegiul Economic Avram Iancu,Rural,M,9.81,6.82,5.39,5.46,7.2,6.54,1,0,2019
88,2019,Giurgiu,Liceul Sportiv Dimitrie Cantemir,Rural,M,7.04,8.61,5.85,6.79,5.67,6.91,1,0,2019
89,2019,Hunedoara,Liceul Sportiv Alexandru Ioan Cuza,Rural,M,7.01,7.02,1.84,3.94,7.89,5.13,0,0,2019
90,2019,Maramures,Liceul Sportiv Stefan cel Mare,Urban,F,7.84,7.49,6.24,8.01,6.03,7.01,1,0,2019
91,2019,Galati,Liceul Pedagogic Traian,Urban,M,9.04,7.85,6.74,8.87,10.0,8.11,1,0,2019
92,2019,Constanta,Colegiul Tehnic Elena Cuza,Urban,M,8.32,5.82,6.59,5.94,8.79,6.76,1,0,2019
93,2019,Salaj,Colegiul Economic Elena Cuza,Urban,F,8.64,10.0,7.24,10.0,6.95,8.58,1,0,2019
94,2019,Vaslui,Scoala Nationala Lucian Blaga,Urban,M,9.97,8.26,6.13,10.0,8.66,8.11,1,0,2019
95,2019,Prahova,Colegiul Tehnic Lucian Blaga,Urban,F,8.54,7.47,5.0,7.97,8.08,7.0,1,0,2019
96,2019,Teleorman,Liceul Sportiv Gheorghe Sincai,Rural,M,8.0,8.56,7.43,7.37,6.26,7.64,1,0,2019
97,2019,Suceava,Liceul Pedagogic Alexandru Ioan Cuza,Urban,M,6.5,8.78,6.64,8.42,7.15,7.61,1,0,2019
98,2019,Harghita,Colegiul National Traian,Urban,M,7.64,8.69,6.9,7.36,9.11,7.91,1,0,2019
99,2019,Braila,Colegiul National Unirea,Rural,M,9.04,6.03,6.98,9.25,7.23,7.28,1,0,2019
100,2019,Satu Mare,Liceul Sportiv Vasile Alecsandri,Urban,F,9.09,6.07,9.16,10.0,6.35,7.93,1,0,2019
101,2019,Bihor,Liceul Pedagogic George Cosbuc,Urban,M,6.98,9.62,9.52,3.08,6.24,7.84,0,0,2019
102,2019,Valcea,Colegiul Economic Constantin Brancusi,Urban,M,5.72,5.35,4.09,5.89,3.85,4.86,0,0,2019
103,2019,Neamt,Liceul Teoretic Onisifor Ghibu,Urban,M,9.77,5.52,8.27,7.65,7.89,7.44,1,0,2019
104,2019,Covasna,Scoala Nationala George Cosbuc,Urban,F,8.0,10.0,8.64,9.53,6.19,8.75,1,0,2019
105,2019,Mures,Colegiul Tehnic Octavian Goga,Urban,M,6.43,9.52,9.73,8.28,7.37,8.77,1,0,2019
106,2019,Prahova,Colegiul Tehnic Dimitrie Cantemir,Urban,F,8.0,7.6,7.58,10.0,9.97,8.35,1,0,2019
107,2019,Dambovita,Liceul Teoretic Nicolae Balcescu,Rural,M,7.16,6.85,8.38,8.76,10.0,8.1,1,0,2019
108,2019,Harghita,Liceul Sportiv Vasile Alecsandri,Urban,M,8.42,8.8,8.6,9.47,8.48,8.75,1,0,2019
109,2019,Harghita,Liceul Sportiv Constantin Brancusi,Rural,M,7.33,7.24,8.8,7.69,7.17,7.77,1,0,2019
110,2019,Arges,Colegiul National George Cosbuc,Rural,M,8.06,7.89,9.34,10.0,7.55,8.61,1,0,2019
111,2019,Tulcea,Liceul Pedagogic Unirea,Urban,F,8.45,7.4,5.26,9.19,8.93,7.36,1,0,2019
112,2019,Cluj,Liceul Tehnologic Unirea,Urban,M,10.0,7.68,9.49,8.06,6.3,8.3,1,0,2019
113,2019,Salaj,Liceul de Arte Bogdan Voda,Rural,F,8.85,8.18,6.32,10.0,5.39,7.54,1,0,2019
114,2019,Calarasi,Colegiul Economic Ion Barbu,Urban,M,4.03,5.75,6.1,7.61,6.57,6.08,0,0,2019
115,2019,Hunedoara,Scoala Nationala Ion Barbu,Urban,F,5.85,9.6,6.03,9.1,7.62,7.78,1,0,2019
116,2019,Teleorman,Liceul Sportiv Mircea cel Batran,Urban,F,8.24,8.26,7.14,9.56,9.39,8.29,1,0,2019
117,2019,Bacau,Liceul Sportiv Ana Ipatescu,Urban,M,10.0,6.93,3.2,7.42,4.76,5.87,0,0,2019
118,2019,Dolj,Colegiul Economic George Cosbuc,Rural,F,6.06,5.51,1.44,5.64,1.55,3.77,0,1,2019
119,2019,Brasov,Liceul Sportiv Regina Maria,Urban,F,7.74,8.37,7.85,9.66,8.5,8.36,1,0,2019
120,2019,Sibiu,Liceul Sportiv Alexandru Ioan Cuza,Rural,F,6.98,6.45,6.06,10.0,8.13,7.17,1,0,2019
121,2019,Buzau,Liceul Tehnologic Grigore Moisil,Urban,M,7.02,8.25,9.14,8.77,8.12,8.45,1,0,2019
122,2019,Mures,Colegiul National Octavian Goga,Urban,M,9.07,6.04,8.97,7.54,10.0,8.04,1,0,2019
123,2019,Vaslui,Scoala Nationala Mihai Viteazul,Rural,F,7.42,9.87,7.44,6.54,7.06,7.98,1,0,2019
124,2019,Timis,Colegiul Tehnic Elena Cuza,Rural,F,10.0,9.86,6.56,6.57,7.74,8.07,1,0,2019
125,2019,Maramures,Liceul Sportiv Elena Cuza,Urban,M,8.51,6.13,9.51,5.12,4.36,6.96,0,1,2019
126,2019,Buzau,Liceul de Arte Grigore Moisil,Urban,F,7.91,8.88,9.74,8.38,8.94,8.98,1,0,2019
127,2019,Olt,Liceul Tehnologic Dimitrie Cantemir,Urban,M,9.67,9.48,4.89,7.87,7.89,7.64,0,1,2019
128,2019,Bihor,Colegiul Economic Mircea cel Batran,Urban,M,8.45,6.64,7.89,7.16,9.11,7.64,1,0,2019
129,2019,Ialomita,Liceul de Arte Mircea cel Batran,Rural,M,4.32,5.68,3.14,4.04,8.72,4.99,0,0,2019
130,2019,Teleorman,Liceul Pedagogic Alexandru Ioan Cuza,Urban,F,6.95,7.62,6.1,8.01,7.14,7.08,1,0,2019
131,2019,Botosani,Liceul Tehnologic Elena Cuza,Rural,M,9.6,8.48,5.87,6.88,6.59,7.29,1,0,2019
132,2019,Arad,Liceul de Arte Dimitrie Cantemir,Urban,M,10.0,7.69,7.1,8.95,8.26,8.02,1,0,2019
133,2019,Suceava,Liceul Tehnologic George Cosbuc,Urban,M,8.9,8.32,8.3,7.33,10.0,8.48,1,0,2019
134,2019,Maramures,Liceul Tehnologic Alexandru Ioan Cuza,Rural,F,7.05,10.0,6.16,7.73,8.49,7.99,1,0,2019
135,2019,Galati,Liceul Sportiv Ana Ipatescu,Urban,M,8.29,8.78,8.49,10.0,8.12,8.73,1,0,2019
136,2019,Teleorman,Liceul Pedagogic Mircea cel Batran,Urban,F,6.0,9.94,3.79,7.71,5.64,6.72,0,0,2019
137,2019,Prahova,Liceul Sportiv Vasile Alecsandri,Rural,F,8.34,7.06,8.24,9.18,9.63,8.25,1,0,2019
138,2019,Tulcea,Colegiul National Ion Barbu,Urban,F,8.44,8.26,6.53,9.54,6.73,7.72,1,0,2019
139,2019,Giurgiu,Colegiul National Regina Maria,Urban,M,9.83,5.48,4.12,3.54,5.85,5.27,0,0,2019
140,2019,Gorj,Colegiul Tehnic Mircea cel Batran,Rural,F,8.98,9.68,7.82,10.0,10.0,9.15,1,0,2019
141,2019,Galati,Liceul Tehnologic Mircea cel Batran,Rural,M,8.51,8.48,10.0,9.13,7.53,8.89,1,0,2019
142,2019,Bucuresti,Liceul de Arte Spiru Haret,Rural,F,7.0,5.54,6.82,9.49,8.57,7.12,1,0,2019
143,2019,Gorj,Scoala Nationala Ana Ipatescu,Urban,F,5.4,5.22,8.18,5.53,6.6,6.38,1,0,2019
144,2019,Giurgiu,Liceul Sportiv Emil Racovita,Rural,F,8.18,5.0,7.29,7.37,7.98,6.81,1,0,2019
145,2019,Ialomita,Colegiul Tehnic Grigore Moisil,Rural,F,7.46,9.13,5.88,5.68,6.64,7.1,1,0,2019
146,2019,Mehedinti,Colegiul Economic Mihai Eminescu,Rural,M,7.97,9.82,5.69,6.36,5.95,7.3,1,0,2019
147,2019,Brasov,Colegiul Economic Ion Barbu,Urban,M,8.85,10.0,8.82,7.86,8.11,8.93,1,0,2019
148,2019,Ilfov,Scoala Nationala Lucian Blaga,Urban,F,4.9,6.67,5.93,7.27,6.74,6.37,0,1,2019
149,2019,Bucuresti,Colegiul Economic Vasile Alecsandri,Rural,M,10.0,9.66,9.52,6.57,10.0,9.24,1,0,2019
150,2019,Arges,Scoala Nationala Ioan Slavici,Urban,F,9.88,6.32,6.56,6.25,7.47,6.91,1,0,2019
151,2019,Ilfov,Colegiul Economic Unirea,Rural,M,4.61,7.06,7.43,4.9,7.15,6.62,0,0,2019
152,2019,Botosani,Liceul Pedagogic Nicolae Balcescu,Rural,M,5.16,9.75,6.52,4.34,6.29,6.99,0,0,2019
153,2019,Dolj,Scoala Nationala Ana Ipatescu,Rural,F,7.22,7.48,3.57,6.82,3.57,5.6,0,0,2019
154,2019,Mehedinti,Liceul Sportiv George Cosbuc,Urban,M,7.44,5.37,4.66,9.3,8.96,6.49,0,0,2019
155,2019,Valcea,Liceul Tehnologic Emil Racovita,Rural,F,8.07,4.22,4.9,8.8,4.9,5.6,0,0,2019
156,2019,Covasna,Liceul Tehnologic Emil Racovita,Urban,M,8.15,4.56,5.55,7.43,6.73,5.97,0,0,2019
157,2019,Braila,Colegiul National Ioan Slavici,Urban,M,8.94,5.59,7.2,10.0,7.91,7.42,1,0,2019
158,2019,Dolj,Liceul Tehnologic Spiru Haret,Urban,F,8.77,7.68,5.99,8.89,6.82,7.33,1,0,2019
159,2019,Brasov,Scoala Nationala Unirea,Rural,F,9.1,7.91,6.45,8.63,9.32,7.91,1,0,2019
160,2019,Sibiu,Scoala Nationala Octavian Goga,Urban,M,8.38,7.02,6.6,8.19,6.99,7.2,1,0,2019
161,2019,Arad,Liceul Teoretic Mihai Viteazul,Urban,F,8.28,8.1,9.26,9.23,6.76,8.43,1,0,2019
162,2019,Olt,Liceul Teoretic Ioan Slavici,Urban,F,9.69,7.46,6.79,7.4,7.8,7.52,1,0,2019
163,2019,Bucuresti,Scoala Nationala Octavian Goga,Urban,M,9.27,8.71,5.0,5.0,8.68,7.09,1,0,2019
164,2019,Valcea,Scoala Nationala Spiru Haret,Urban,M,8.66,5.96,1.0,6.27,7.71,5.05,0,0,2019
165,2019,Dambovita,Liceul Teoretic Lucian Blaga,Urban,M,6.63,8.99,6.21,8.18,7.22,7.53,1,0,2019
166,2019,Galati,Liceul Teoretic George Cosbuc,Urban,F,1.08,5.41,5.84,10.0,4.53,5.66,0,0,2019
167,2019,Ilfov,Scoala Nationala Traian,Rural,M,9.99,8.22,5.62,10.0,6.13,7.57,1,0,2019
168,2019,Brasov,Colegiul Economic Grigore Moisil,Urban,M,8.64,7.54,2.37,9.85,7.06,6.37,0,0,2019
169,2019,Valcea,Liceul Tehnologic Bogdan Voda,Urban,F,8.24,5.78,10.0,9.2,6.34,7.89,1,0,2019
170,2019,Botosani,Liceul Pedagogic Unirea,Urban,M,6.89,7.97,9.2,8.42,8.79,8.42,1,0,2019
171,2019,Neamt,Scoala Nationala Mihai Eminescu,Rural,M,9.23,7.51,6.6,10.0,5.11,7.42,1,0,2019
172,2019,Giurgiu,Liceul de Arte Marin Preda,Urban,F,8.9,8.81,6.76,9.8,7.91,8.22,1,0,2019
173,2019,Buzau,Colegiul National George Cosbuc,Urban,F,4.85,10.0,3.88,3.96,6.5,6.22,0,0,2019
174,2019,Prahova,Liceul Teoretic Ana Ipatescu,Urban,F,8.74,9.61,7.38,8.5,8.16,8.47,1,0,2019
175,2019,Calarasi,Liceul Sportiv Bogdan Voda,Rural,F,8.98,8.08,8.73,7.43,7.59,8.19,1,0,2019
176,2019,Valcea,Liceul Teoretic Marin Preda,Urban,F,9.98,7.77,10.0,8.41,6.88,8.62,1,0,2019
177,2019,Gorj,Liceul Pedagogic Nicolae Balcescu,Rural,M,9.8,7.79,5.0,8.07,9.01,7.38,1,0,2019
178,2019,Valcea,Liceul Tehnologic Onisifor Ghibu,Urban,F,7.65,7.83,6.23,6.74,8.26,7.23,1,0,2019
179,2019,Hunedoara,Liceul Tehnologic Tudor Vladimirescu,Urban,F,7.08,10.0,5.36,9.29,8.68,8.01,1,0,2019
180,2019,Dambovita,Liceul Teoretic Tudor Vladimirescu,Urban,M,4.9,5.98,6.59,9.82,10.0,7.23,0,0,2019
181,2019,Prahova,Colegiul Economic Elena Cuza,Rural,M,9.03,8.45,6.9,2.27,5.3,6.64,0,0,2019
182,2019,Arad,Liceul Sportiv Ion Barbu,Rural,F,7.09,6.06,4.6,7.82,8.31,6.33,0,0,2019
183,2019,Neamt,Scoala Nationala George Cosbuc,Rural,F,7.24,9.36,6.28,9.67,8.11,8.08,1,0,2019
184,2019,Harghita,Liceul Teoretic Ion Luca Caragiale,Rural,F,5.46,10.0,8.29,7.61,5.95,8.07,1,0,2019
185,2019,Constanta,Liceul Tehnologic Alexandru Ioan Cuza,Rural,F,7.21,5.66,8.0,10.0,9.49,7.74,1,0,2019
186,2019,Galati,Liceul Teoretic Avram Iancu,Urban,M,7.39,6.16,2.85,8.07,6.04,5.56,0,0,2019
187,2019,Prahova,Liceul de Arte Grigore Moisil,Rural,M,5.23,1.0,5.54,9.87,9.72,5.42,0,0,2019
188,2019,Olt,Liceul Pedagogic Unirea,Urban,F,8.72,9.04,7.18,7.09,7.54,7.93,1,0,2019
189,2019,Sibiu,Liceul de Arte Ion Barbu,Urban,F,6.44,6.59,6.97,8.75,5.55,6.86,0,1,2019
190,2019,Bistrita-Nasaud,Scoala Nationala Emil Racovita,Rural,F,9.49,5.86,5.55,5.08,4.83,5.86,0,0,2019
191,2019,Constanta,Colegiul National Constantin Brancusi,Urban,F,8.63,8.39,6.34,8.08,5.0,7.24,1,0,2019
192,2019,Ialomita,Colegiul National Alexandru Ioan Cuza,Rural,F,7.85,6.33,2.05,8.71,4.93,5.34,0,0,2019
193,2019,Suceava,Liceul Pedagogic Tudor Vladimirescu,Urban,F,8.31,8.24,8.61,6.85,7.11,7.98,1,0,2019
194,2019,Ialomita,Liceul de Arte George Cosbuc,Rural,F,7.24,5.69,7.61,10.0,8.21,7.45,1,0,2019
195,2019,Timis,Liceul Tehnologic Lucian Blaga,Rural,F,7.22,6.03,8.62,9.84,7.62,7.74,1,0,2019
196,2019,Buzau,Colegiul Economic Ioan Slavici,Rural,F,6.7,5.82,2.16,8.18,6.24,5.23,0,0,2019
197,2019,Harghita,Liceul Tehnologic Bogdan Voda,Urban,M,7.35,10.0,6.83,5.92,6.23,7.61,1,0,2019
198,2019,Suceava,Colegiul National Marin Preda,Urban,M,10.0,8.82,5.69,9.32,7.21,7.83,1,0,2019
199,2019,Covasna,Liceul Tehnologic Ioan Slavici,Urban,M,8.79,7.87,5.0,8.04,10.0,7.45,1,0,2019
200,2019,Botosani,Scoala Nationala Nicolae Balcescu,Urban,M,6.11,7.04,9.17,7.06,7.81,7.7,1,0,2019
201,2019,Vrancea,Liceul Tehnologic Spiru Haret,Urban,F,10.0,8.07,7.09,8.88,9.14,8.25,1,0,2019
202,2019,Mures,Liceul Pedagogic Onisifor Ghibu,Urban,M,8.07,6.47,6.55,9.44,5.19,6.91,1,0,2019
203,2019,Teleorman,Colegiul Tehnic Marin Preda,Urban,M,9.2,9.37,5.95,3.59,5.91,6.94,0,0,2019
204,2019,Olt,Scoala Nationala Dimitrie Cantemir,Urban,F,9.42,6.96,4.1,6.34,8.51,6.49,0,0,2019
205,2019,Valcea,Liceul de Arte Traian,Urban,F,8.37,6.57,5.43,6.53,5.34,6.22,1,0,2019
206,2019,Suceava,Liceul Pedagogic Constantin Brancusi,Rural,F,9.68,5.76,8.28,2.85,8.4,6.87,0,0,2019
207,2019,Bistrita-Nasaud,Liceul de Arte Regina Maria,Rural,F,9.23,6.5,6.86,7.82,6.69,7.11,1,0,2019
208,2019,Bacau,Liceul Teoretic Marin Preda,Urban,F,10.0,6.15,8.03,8.17,7.39,7.59,1,0,2019
209,2019,Hunedoara,Liceul Tehnologic Ioan Slavici,Rural,M,7.66,8.21,9.92,8.61,7.22,8.58,1,0,2019
210,2019,Satu Mare,Liceul Sportiv Decebal,Rural,F,8.87,7.7,6.84,8.46,6.4,7.48,1,0,2019
211,2019,Bistrita-Nasaud,Scoala Nationala Dimitrie Cantemir,Urban,F,9.1,6.53,7.95,8.25,10.0,7.99,1,0,2019
212,2019,Gorj,Liceul Sportiv George Cosbuc,Urban,F,7.29,6.37,6.16,8.83,9.84,7.29,1,0,2019
